Date,ensemble
2014-02-16,0
2014-02-17,0
2014-02-18,0
2014-02-19,0
2014-02-20,1
2014-02-21,0
2014-02-23,0
2014-02-24,1
2014-02-25,1
2014-02-26,1
2014-02-27,2
2014-02-28,0
2014-03-02,0
2014-03-03,1
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,1
2014-03-13,0
2014-03-14,1
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-21,2
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,2
2014-03-30,0
2014-03-31,1
2014-04-01,1
2014-04-02,1
2014-04-03,0
2014-04-04,1
2014-04-06,0
2014-04-07,0
2014-04-08,0
2014-04-09,1
2014-04-10,0
2014-04-11,0
2014-04-13,0
2014-04-14,0
2014-04-15,0
2014-04-16,0
2014-04-17,0
2014-04-20,0
2014-04-21,2
2014-04-22,0
2014-04-23,0
2014-04-24,1
2014-04-25,0
2014-04-27,2
2014-04-28,0
2014-04-29,0
2014-04-30,1
2014-05-01,0
2014-05-02,0
2014-05-04,1
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,0
2014-05-09,0
2014-05-11,0
2014-05-12,2
2014-05-13,0
2014-05-14,0
2014-05-15,0
2014-05-16,1
2014-05-18,1
2014-05-19,0
2014-05-20,1
2014-05-21,0
2014-05-22,1
2014-05-23,0
2014-05-25,0
2014-05-26,0
2014-05-27,1
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-06-01,0
2014-06-02,2
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-08,0
2014-06-09,0
2014-06-10,1
2014-06-11,0
2014-06-12,0
2014-06-13,1
2014-06-15,1
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-29,0
2014-06-30,0
2014-07-01,1
2014-07-02,0
2014-07-03,1
2014-07-04,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,1
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-03,1
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
